_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
315264182406594,630505494719360,46.61313542410522,1.961063920576691,389.253050210783,-925.0262599814664,8.457596,9.291474,7.5637836,True,True,True,True,False,True,True,True,True,True,False,False,True
613857838730173,1227712107314688,43.1958678724688,1.9284232652848503,1400.2917654668809,-515.645437971644,13.919317,14.903977,12.939081,True,True,True,True,True,True,True,True,True,True,False,False,True
1589517193093814,3179036008830848,48.353258238212746,4.775200170986658,1741.8746105332425,86.49438435103424,12.101368,14.121774,10.778052,True,True,True,True,False,True,True,True,True,True,False,False,True
9282739332438892,18565464288396416,39.07167733324421,6.8780898981735605,1801.671457880569,1450.4869465238849,10.333128,11.952149,9.096833,True,True,True,True,False,True,True,True,True,True,False,False,True
9658118652315295,19316224572460416,39.02838450657828,6.893339107578528,1778.585493720961,1477.3061594730598,5.4983196,6.019165,4.820522,True,True,True,True,False,True,True,True,True,True,False,False,True
13680358565942801,27360698317776640,44.38732619280261,10.788296530863729,1754.3858190939352,-419.314335013974,11.885279,13.288116,10.719361,True,True,True,True,False,False,True,True,True,True,False,False,True
16866080201424005,33732162042339072,41.64079022240677,16.416972047012635,-831.5331881851774,-569.0246394430965,14.552517,17.205729,13.133217,True,True,True,True,False,True,True,True,True,True,False,False,True
17613398834314441,35227046884571776,43.26964247679057,16.86437381897744,3429.0828268077694,-3805.54112273733,12.263103,15.31863,10.790128,True,True,True,True,False,True,True,True,True,True,False,False,False
18715773271603708,37431537635219712,55.626009549892096,12.519732313100477,752.7962275554678,-1405.5691580398347,12.011498,13.114006,10.956299,True,True,True,True,False,True,True,True,True,True,False,False,True
22450909249836146,44901791432527232,56.14712981451253,18.43104008150184,412.51764655794017,-1129.7758796278197,15.057756,15.246795,14.71874,True,True,True,True,False,False,True,True,True,True,False,False,False
25067611263586714,50135226263009280,60.40399681511382,18.72284767228496,328.3595183757092,-1105.3311147960949,14.590434,15.576783,13.61483,True,True,True,True,False,False,True,True,True,True,False,False,False
29507549988168563,59015088325932544,48.35699452107895,18.822411264185387,1286.4164470000028,-1061.3340062486966,13.505909,14.3739,12.593238,True,True,True,True,False,False,True,True,True,True,False,False,False
33418788618313182,66837563803594880,56.696369480991095,24.92892958619569,520.1773715845098,-1157.434442140667,18.573349,19.320286,17.775904,True,True,True,True,False,False,True,True,True,True,False,False,False
38434308575836783,76868614540049408,30.058987047653364,13.044071201123836,1096.4584858968617,-1771.5261453794967,10.681062,12.571853,9.383672,True,True,True,True,False,True,True,True,True,True,False,False,True
39628775679374537,79257544069541248,33.462802411047214,15.985165401972967,978.5166495364632,-288.64187097926174,12.775483,13.381881,12.029816,True,True,True,True,False,True,True,True,True,True,False,False,True
41520538147564606,83041066660131072,38.55501103401772,17.759722873210983,669.1447582872565,-969.489900599875,13.959662,15.183235,12.867848,True,True,True,True,False,True,True,True,True,True,False,False,False
69930334818530460,139860666488305664,43.0351018418911,34.384950446682915,995.8045303279958,-990.4426955017344,9.027057,9.82409,8.152574,True,True,True,True,False,False,True,True,True,True,False,False,False
72355622838789655,144711230753602048,68.90073185475295,21.250996459036724,860.7161416146595,-959.2079100887464,19.120424,21.595911,17.604784,True,True,True,True,False,False,True,True,True,True,False,False,False
76337226404524552,152674443718110208,67.72206393283642,28.195874945231907,622.1104277042106,-830.7387538949012,16.54491,17.600624,15.526942,True,True,True,True,False,False,True,True,True,True,False,False,False
78562338488877321,157124648312810880,76.30194911572873,30.72140576696444,572.4750020476727,-934.2347866569884,15.948162,17.239475,14.827396,True,True,True,True,False,False,True,True,True,True,False,False,False
