_hipscat_index,CLASS_STAR_G_des,CLASS_STAR_R_des,CLASS_STAR_I_des,CLASS_STAR_Z_des,CLASS_STAR_Y_des,FLAGS_G_des,FLAGS_R_des,FLAGS_I_des,FLAGS_Z_des,FLAGS_Y_des,RA_des,DEC_des,COADD_OBJECT_ID_des,SPREAD_MODEL_G_des,SPREAD_MODEL_R_des,SPREAD_MODEL_I_des,SPREAD_MODEL_Z_des,SPREAD_MODEL_Y_des,WAVG_MAG_PSF_G_des,WAVG_MAG_PSF_R_des,WAVG_MAG_PSF_I_des,WAVG_MAG_PSF_Z_des,WAVG_MAG_PSF_Y_des,WAVG_MAGERR_PSF_G_des,WAVG_MAGERR_PSF_R_des,WAVG_MAGERR_PSF_I_des,WAVG_MAGERR_PSF_Z_des,WAVG_MAGERR_PSF_Y_des,ra_gaia,pmra_gaia,dec_gaia,pmdec_gaia,parallax_over_error_gaia,_dist_arcsec,algo_found,source_id_gaia,GMag_gaia,BPmag_gaia,RPmag_gaia
4613930437209751552,0.8454201818,0.845420897,0.8454133272,0.8453444242,0.03528711945,19,19,19,19,19,1.382708,-37.367553,1043296795,0.02537718415,0.02455670573,0.01737530157,0.01674357429,0.02560771443,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.383284152,5633.438088,-37.36774403,-2334.721273,6359.301,1.786142031,FALSE,2306965202564744064,7.682494,8.802319,6.61627
5030074573559693312,0.8445635438,0.8450754285,0.8452512026,0.8437319994,0.8014611602,2,2,2,2,2,33.079341,3.567016,1250008459,0.02825137787,0.02465574443,0.02265254594,0.02233254351,0.03233387694,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,33.0795993,-1762.405718,3.567385155,-1852.8711,3857.4338,1.620950406,FALSE,2515037264041041536,9.205841,10.280927,8.165198
9473310124119425024,0.04898922518,0.4041670561,0.9941402674,0.02865047939,0.02826828137,3,3,3,3,3,53.568288,-49.889944,1398389893,0.007004994899,0.008674547076,0.008454780094,-0.008801579475,0.03567610309,20.01762962,17.65090752,14.98483562,-99,-99,0.008202018216,0.001940755872,0.0005538539845,-99,-99,53.56719574,2360.592206,-49.89008391,483.1275045,2020.9392,2.582885467,TRUE,4736655036868019072,15.837138,19.476444,14.289389
9560201318102990848,0.1258031875,0.1200654507,0.02860111929,0.02862672694,0.02862672694,3,3,3,3,3,62.610625,-53.614224,1464092812,0.01048561465,0.03873612732,0.03714936599,0.04035222158,0.04188944027,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,62.61100026,-825.1793704,-53.61299677,-2415.577565,6581.664,4.490123104,FALSE,4780100658292046592,11.902864,13.809194,10.605541
9695914633298182144,0.8454250097,0.8454250097,0.8454062343,0.8453711867,0.8451301455,22,22,18,18,22,50.000054,-43.066641,1445898840,-0.0001322507596,-9.18E-06,1.11E-05,9.01E-06,1.83E-06,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,50.00034362,3035.017316,-43.06655253,726.9644816,2112.3093,0.8256110088,FALSE,4847957293278177024,4.063915,4.440891,3.508293
9800217929181036544,0.8448390365,0.8450140953,0.8451171517,0.8452665806,0.8449822664,2,2,2,2,6,5.037242,-64.869108,1054999950,0.000473563181,0.0002758350747,-0.0003965914657,0.0004043035442,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5.035609547,1706.746855,-64.86961714,1164.959443,871.1839,3.096527353,FALSE,4900108950849461248,4.07351,4.369477,3.600201
9874001828230725632,0.8453601003,0.02919691056,0.8453409076,0.8429747224,0.04774624109,2,3,2,2,2,32.623122,-50.820946,1243465193,0.005569571629,0.001849715831,0.001703171874,0.001035653753,0.004741071723,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,32.62294595,2125.416147,-50.82090584,637.9750431,2016.6344,0.4256982413,FALSE,4937000898856156288,5.893562,6.311407,5.297973
9874001828230725632,0.8453601003,0.02919691056,0.8453409076,0.8429747224,0.04774624109,2,3,2,2,2,32.623122,-50.820946,1243465193,0.005569571629,0.001849715831,0.001703171874,0.001035653753,0.004741071723,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,32.6240695,2168.886011,-50.8208232,710.8477271,588.3757,2.199757385,FALSE,4937000898856154624,13.08884,,
10012464071594475520,0.03697147593,0.4667292237,0.943788588,0.9838932157,0.03505854681,3,3,3,3,3,11.342493,-33.498752,1094555466,0.0111897327,0.01206795126,0.002393724397,0.0003694441693,0.01288999245,19.63256454,18.50331497,18.11654663,17.95144844,17.94100571,0.007033675909,0.003358969698,0.003134039231,0.002708812477,0.008519186638,11.34138856,1826.373986,-33.49799318,-1485.010343,166.26512,4.295976592,TRUE,5006232026455470848,18.60774,19.310984,17.805714
10230920489967026176,0.03040312976,0.4113887846,0.02893828414,0.807518065,0.02968731709,3,3,3,3,3,54.57234,-11.499575,1403801537,0.03265681118,0.03656311706,0.04292918742,0.04127282277,0.04081232473,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,54.57202167,1458.200738,-11.49906945,-2696.545125,2813.1602,2.138555359,FALSE,5115463180914712448,12.066338,13.255437,10.986762
10281387200843087872,0.1189087778,0.8446957469,0.8103226423,0.8434317112,0.6061044931,2,2,2,2,2,24.77208,-17.94802,1307256843,0.02195010707,0.01918469183,0.01550214365,0.0172227975,0.01893537678,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,24.77167421,3178.694258,-17.94768286,584.061335,746.38806,1.845132706,FALSE,5140693571158946048,10.817838,13.252207,9.423653
